"QueueId","RepoName","RepoPath","RepoPriorityBand","RepoPriorityScore","BatchType","BatchOrder","BatchChunkIndex","EstimatedComplexity","RecommendedCooldownSeconds","QueueScore","PromptFlavor","FileCount","Files","Goals","Warnings","PacketPath"
"AIToolbox.core.001","AIToolbox","G:\Development\20_Staging\AIToolbox","High","90","core","1","1","high","300","136","core-doc-modernization","5","CONTRIBUTING.md; docs\adr\0005-multi-agent-architecture.md; docs\architecture.md; docs\contributing.md; docs\development\architecture-deep-dive.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Core batch does not include README.md; verify this is intended | docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\AIToolbox.core.001.md"
"SystemDashboard.core.001","SystemDashboard","G:\Development\20_Staging\SystemDashboard","High","90","core","1","1","high","300","136","core-doc-modernization","5","docs\_Archive\README.md; docs\_Archive\SETUP.md; docs\ARCHITECTURE.md; docs\archive\legacy\DATABASE-SETUP-COMPLETE.md; docs\archive\legacy\PERMANENT-SETUP.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\SystemDashboard.core.001.md"
"AIToolbox.core.002","AIToolbox","G:\Development\20_Staging\AIToolbox","High","90","core","1","2","high","300","134","core-doc-modernization","5","docs\development\setup.md; docs\getting-started.md; docs\mcp\README.md; docs\README.md; README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\AIToolbox.core.002.md"
"SystemDashboard.core.002","SystemDashboard","G:\Development\20_Staging\SystemDashboard","High","90","core","1","2","high","300","134","core-doc-modernization","5","docs\archive\legacy\README.md; docs\CONTRIBUTING.md; docs\GETTING-STARTED.md; docs\observability-pack-v1-design.md; docs\README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\SystemDashboard.core.002.md"
"SystemDashboard.core.003","SystemDashboard","G:\Development\20_Staging\SystemDashboard","High","90","core","1","3","high","300","132","core-doc-modernization","5","docs\screenshots\README.md; docs\SECURITY-SETUP.md; docs\SETUP.md; migrations\README.md; README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\SystemDashboard.core.003.md"
"UnifiedAIToolbox.core.001","UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","High","80","core","1","1","high","300","126","core-doc-modernization","5","apps\orchestration-bridge\README.md; apps\unifiedtoolbox.webapp\docs\information-architecture.md; apps\unifiedtoolbox.webapp\README.md; archive\orchestration\legacy-runners\README.md; archive\README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\UnifiedAIToolbox.core.001.md"
"UnifiedAIToolbox.core.002","UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","High","80","core","1","2","high","300","124","core-doc-modernization","5","docs\archive\architecture.md; docs\archive\architecture\ARCHITECTURE_FACTS_ROLLBACK.md; docs\archive\architecture\ARCHITECTURE_FACTS_SUMMARY.md; docs\archive\architecture\ARCHITECTURE_FACTS.md; docs\archive\architecture\RepoStructureOverview.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Core batch does not include README.md; verify this is intended | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\UnifiedAIToolbox.core.002.md"
"UnifiedAIToolbox.core.003","UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","High","80","core","1","3","high","300","122","core-doc-modernization","5","docs\archive\architecture\WiringMatrix.md; docs\archive\contributing.md; docs\archive\getting-started.md; docs\archive\help\architecture.md; docs\archive\integrations\WEBHOOK_SETUP.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Core batch does not include README.md; verify this is intended | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\UnifiedAIToolbox.core.003.md"
"SystemDashboard.operational.001","SystemDashboard","G:\Development\20_Staging\SystemDashboard","High","90","operational","2","1","medium","180","121","operational-doc-clarification","3","docs\_Archive\OPERATIONS.md; docs\FAQ.md; docs\TROUBLESHOOTING.md","Make procedures easier to follow and verify | Clarify troubleshooting steps, warnings, and prerequisites | Reduce ambiguity in operational flows and runbooks | Improve scanability for maintenance and support use","docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\SystemDashboard.operational.001.md"
"UnifiedAIToolbox.core.004","UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","High","80","core","1","4","high","300","120","core-doc-modernization","5","docs\archive\mcp\MCP_GOVERNANCE_DESIGN.md; docs\archive\phase3\K8S_ARCHITECTURE.md; docs\archive\phase3\README.md; docs\archive\README.md; docs\index.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\UnifiedAIToolbox.core.004.md"
"UnifiedAIToolbox.core.005","UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","High","80","core","1","5","high","300","118","core-doc-modernization","5","docs\mcp\README.md; docs\README.md; docs\Unified-AI-Toolbox-Architecture.md; examples\run-ui-validate-2026-02-08T13-52-50-181Z-2c9301-artifacts\README.md; examples\run-ui-validate-2026-02-09T06-59-24-879Z-193507-artifacts\README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\UnifiedAIToolbox.core.005.md"
"AIToolbox.operational.001","AIToolbox","G:\Development\20_Staging\AIToolbox","High","90","operational","2","1","low","90","118","operational-doc-clarification","1","docs\FAQ.md","Make procedures easier to follow and verify | Clarify troubleshooting steps, warnings, and prerequisites | Reduce ambiguity in operational flows and runbooks | Improve scanability for maintenance and support use","docs folder exists without docs/index.md | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\AIToolbox.operational.001.md"
"UnifiedAIToolbox.core.006","UnifiedAIToolbox","G:\Development\20_Staging\UnifiedAIToolbox","High","80","core","1","6","high","300","116","core-doc-modernization","5","examples\ui-auto-validate-2026-02-07T22-02-35-612Z-60cfed\repo\README.md; examples\ui-auto-validate-2026-02-07T23-08-23-907Z-5cc97e\repo\README.md; modules\GitHubRepoManager\README.md; Orchestration\Goals\README.md; Orchestration\README.md","Improve first-use readability and onboarding clarity | Tighten headings, structure, and opening summaries | Clarify architecture, setup, and contributor guidance | Strengthen cross-linking among high-value docs","Batch contains many files; keep changes bounded and reviewable | Many markdown files fall into general or unclear categories | Multiple README.md files detected across the repo | Multiple setup-oriented docs may indicate overlap or duplication","G:\Development\GitHubRepoManagement\evidence\baseline\20260307_213547\docreview\queue\copilot-packets\UnifiedAIToolbox.core.006.md"
